pruning,,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
rubik3.d=015,ORANGE BLUE RED GREEN YELLOW GREEN ORANGE ORANGE BLUE BLUE RED WHITE WHITE WHITE GREEN BLUE YELLOW YELLOW WHITE RED BLUE YELLOW BLUE RED WHITE GREEN WHITE ORANGE RED ORANGE BLUE RED YELLOW WHITE ORANGE YELLOW RED GREEN GREEN RED YELLOW ORANGE GREEN YELLOW ORANGE WHITE GREEN BLUE,"(False, '20128263', '1118238')","(False, '16534100', '918566')","(False, '14981311', '832296')","(False, '16633453', '924084')","(False, '16123717', '895764')","(False, '16491446', '916195')"
rubik3.d=015,GREEN ORANGE ORANGE WHITE RED RED RED WHITE YELLOW GREEN ORANGE ORANGE YELLOW BLUE ORANGE YELLOW RED RED GREEN BLUE RED RED WHITE ORANGE ORANGE YELLOW BLUE ORANGE GREEN GREEN BLUE YELLOW BLUE BLUE YELLOW GREEN BLUE WHITE WHITE BLUE WHITE GREEN GREEN RED WHITE YELLOW YELLOW WHITE,"(False, '14984749', '832487')","(False, '16586359', '921468')","(False, '15744583', '874701')","(False, '20644078', '1146898')","(False, '16000716', '888930')","(False, '16542580', '919035')"
rubik3.d=015,BLUE ORANGE WHITE YELLOW WHITE BLUE BLUE YELLOW YELLOW RED ORANGE ORANGE ORANGE GREEN GREEN YELLOW BLUE GREEN GREEN RED RED YELLOW WHITE BLUE GREEN WHITE YELLOW ORANGE GREEN BLUE ORANGE RED RED WHITE RED WHITE BLUE GREEN ORANGE ORANGE RED RED YELLOW GREEN WHITE WHITE YELLOW BLUE,"(False, '19870759', '1103934')","(False, '16228262', '901574')","(False, '14936743', '829821')","(False, '15642928', '869056')","(False, '21427381', '1190413')","(False, '15023783', '834659')"
rubik3.d=015,WHITE GREEN YELLOW WHITE BLUE BLUE WHITE YELLOW YELLOW GREEN RED RED RED WHITE GREEN YELLOW RED RED ORANGE ORANGE ORANGE YELLOW ORANGE ORANGE YELLOW WHITE WHITE BLUE GREEN YELLOW YELLOW ORANGE BLUE WHITE WHITE BLUE BLUE GREEN ORANGE ORANGE BLUE BLUE GREEN RED RED RED GREEN GREEN,"(False, '15674113', '870785')","(False, '21429377', '1190525')","(False, '15493807', '860768')","(False, '21521088', '1195621')","(False, '16123411', '895747')","(False, '19973887', '1109664')"
rubik3.d=015,BLUE GREEN GREEN YELLOW ORANGE YELLOW RED RED YELLOW WHITE WHITE YELLOW YELLOW BLUE GREEN WHITE BLUE ORANGE YELLOW RED WHITE BLUE ORANGE ORANGE WHITE YELLOW RED RED ORANGE GREEN BLUE WHITE GREEN BLUE ORANGE GREEN YELLOW BLUE BLUE ORANGE RED RED GREEN ORANGE RED GREEN WHITE WHITE,"(False, '15633235', '868515')","(False, '16078026', '893227')","(False, '14522401', '806823')","(False, '14911641', '828428')","(False, '21164865', '1175828')","(False, '15579862', '865551')"
rubik3.d=015,WHITE YELLOW ORANGE YELLOW GREEN BLUE RED RED WHITE ORANGE YELLOW WHITE YELLOW ORANGE BLUE WHITE RED WHITE ORANGE RED BLUE BLUE ORANGE RED ORANGE ORANGE YELLOW BLUE RED BLUE GREEN ORANGE GREEN GREEN WHITE WHITE GREEN RED RED GREEN WHITE YELLOW YELLOW GREEN BLUE YELLOW BLUE GREEN,"(False, '15631813', '868436')","(False, '19800477', '1100030')","(False, '15671457', '870638')","(False, '16087360', '893746')","(False, '15919255', '884405')","(False, '16351840', '908440')"
rubik3.d=015,RED RED YELLOW BLUE BLUE YELLOW GREEN RED GREEN GREEN WHITE WHITE BLUE GREEN GREEN RED ORANGE BLUE BLUE YELLOW ORANGE BLUE BLUE WHITE YELLOW ORANGE ORANGE BLUE RED ORANGE YELLOW YELLOW RED ORANGE WHITE ORANGE WHITE GREEN GREEN GREEN RED YELLOW WHITE WHITE ORANGE RED YELLOW WHITE,"(False, '19264213', '1070237')","(False, '19943837', '1107995')","(False, '20519047', '1139950')","(False, '16109047', '894950')","(False, '14633371', '812967')","(False, '15261561', '847869')"
rubik3.d=015,BLUE ORANGE WHITE YELLOW YELLOW GREEN GREEN ORANGE BLUE BLUE GREEN BLUE YELLOW RED BLUE BLUE ORANGE WHITE RED WHITE WHITE GREEN RED WHITE GREEN RED RED BLUE YELLOW YELLOW BLUE GREEN ORANGE WHITE WHITE ORANGE GREEN RED ORANGE YELLOW RED RED YELLOW ORANGE ORANGE YELLOW WHITE GREEN,"(False, '20806075', '1155895')","(False, '15724671', '873596')","(False, '15480811', '860046')","(False, '21481408', '1193417')","(False, '14439018', '802169')","(False, '16539608', '918871')"
rubik3.d=015,GREEN RED WHITE BLUE BLUE WHITE WHITE GREEN YELLOW GREEN GREEN GREEN BLUE BLUE RED ORANGE ORANGE BLUE RED RED RED ORANGE ORANGE WHITE BLUE BLUE YELLOW ORANGE ORANGE ORANGE GREEN YELLOW GREEN GREEN BLUE WHITE ORANGE WHITE WHITE RED WHITE RED YELLOW YELLOW YELLOW YELLOW RED YELLOW,"(False, '14224295', '790240')","(False, '21724904', '1206945')","(False, '21072943', '1170722')","(False, '21867596', '1214871')","(False, '21070621', '1170594')","(False, '16462823', '914606')"
rubik3.d=015,ORANGE GREEN GREEN WHITE RED WHITE RED YELLOW ORANGE BLUE RED RED WHITE ORANGE YELLOW YELLOW RED RED WHITE WHITE ORANGE YELLOW YELLOW GREEN YELLOW ORANGE BLUE BLUE WHITE BLUE BLUE ORANGE BLUE ORANGE BLUE WHITE YELLOW GREEN GREEN RED ORANGE BLUE GREEN YELLOW GREEN RED WHITE GREEN,"(False, '15825763', '879211')","(False, '15878380', '882135')","(False, '15930991', '885057')","(False, '15347783', '852658')","(False, '21122353', '1173466')","(False, '16485595', '915871')"
rubik3.d=040,BLUE WHITE ORANGE YELLOW WHITE YELLOW ORANGE WHITE YELLOW RED RED YELLOW YELLOW WHITE WHITE RED YELLOW GREEN BLUE RED YELLOW WHITE BLUE BLUE WHITE ORANGE GREEN RED RED GREEN GREEN ORANGE RED ORANGE ORANGE BLUE ORANGE BLUE WHITE YELLOW BLUE BLUE RED ORANGE GREEN GREEN GREEN GREEN,"(False, '14827645', '823760')","(False, '16356167', '908681')","(False, '16126327', '895909')","(False, '16539199', '918848')","(False, '19538317', '1085464')","(False, '15154127', '841904')"
rubik3.d=040,YELLOW YELLOW WHITE GREEN ORANGE RED RED YELLOW RED ORANGE GREEN BLUE GREEN RED RED BLUE BLUE BLUE YELLOW YELLOW BLUE WHITE ORANGE WHITE ORANGE WHITE RED BLUE GREEN RED WHITE WHITE BLUE GREEN YELLOW ORANGE ORANGE RED GREEN ORANGE WHITE GREEN YELLOW ORANGE BLUE YELLOW WHITE GREEN,"(False, '15546493', '863701')","(False, '15511193', '861737')","(False, '15923089', '884618')","(False, '16506522', '917034')","(False, '14835043', '824171')","(False, '15289596', '849426')"
rubik3.d=040,BLUE ORANGE ORANGE YELLOW ORANGE YELLOW BLUE BLUE YELLOW BLUE YELLOW RED YELLOW YELLOW GREEN ORANGE RED GREEN GREEN GREEN ORANGE YELLOW WHITE WHITE RED GREEN GREEN RED BLUE WHITE RED RED GREEN WHITE ORANGE ORANGE RED BLUE WHITE WHITE BLUE BLUE WHITE ORANGE WHITE GREEN YELLOW RED,"(False, '14936725', '829819')","(False, '16543311', '919076')","(False, '21466189', '1192569')","(False, '16351574', '908426')","(False, '19767169', '1098179')","(False, '20286287', '1127022')"
rubik3.d=040,ORANGE WHITE WHITE ORANGE GREEN YELLOW RED WHITE BLUE WHITE YELLOW GREEN YELLOW YELLOW YELLOW RED GREEN YELLOW YELLOW GREEN GREEN BLUE ORANGE GREEN RED ORANGE BLUE GREEN GREEN ORANGE RED BLUE BLUE ORANGE WHITE RED WHITE RED WHITE YELLOW BLUE WHITE RED RED ORANGE BLUE ORANGE BLUE,"(False, '15583987', '865779')","(False, '15189442', '843862')","(False, '21522151', '1195678')","(False, '20836915', '1157611')","(False, '20635075', '1146396')","(False, '15766334', '875911')"
