pruning,,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0
algorithm,,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar
info,,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t
file,instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topspin_14_4.d=005,6 11 0 1 2 3 4 7 8 12 5 10 9 13,1,4793909,342422,6,1.0186140537261963,1,5162667,368763,6,1.0200250148773193,1,252,18,6,1.0103657245635986,1,838,61,6,1.0096077919006348,1,4793909,342422,6,1.0249106884002686,1,5162667,368763,6,1.0229485034942627,1,252,18,6,1.0081942081451416,1,838,61,6,1.0095610618591309
topspin_14_4.d=005,10 9 2 12 4 3 1 11 5 6 7 8 0 13,1,2842953,203068,6,1.0141637325286865,1,3061638,218690,6,1.0133264064788818,1,126,9,5,1.0084822177886963,1,89,8,6,1.009925365447998,1,2842953,203068,6,1.0178978443145752,1,3061638,218690,6,1.0180957317352295,1,126,9,5,1.0086750984191895,1,89,8,6,1.009796142578125
topspin_14_4.d=005,5 6 2 1 4 8 9 10 11 12 0 7 3 13,1,966155,69011,6,1.0091264247894287,1,1040473,74323,6,1.0097956657409668,1,98,7,5,1.0089468955993652,1,20,5,5,1.0093624591827393,1,966155,69011,6,1.0103199481964111,1,1040473,74323,6,1.0106759071350098,1,98,7,5,1.0099246501922607,1,20,5,5,1.0094316005706787
topspin_14_4.d=2000000,3 6 11 8 5 12 7 0 9 1 4 2 10 13,0,100450878,7175063,7,16.590582370758057,0,108257544,7732684,7,18.468332767486572,1,1297996,92714,13,3.0247514247894287,0,107455061,7675368,13,66.45166754722595,0,97514867,6965348,7,16.07945442199707,0,110219347,7872815,7,19.00190567970276,1,1326388,94742,13,3.024275541305542,0,109330780,7809347,13,66.95084810256958
topspin_14_4.d=2000000,2 1 7 6 4 0 11 5 8 9 12 10 3 13,0,100466268,7176162,7,17.680384874343872,0,108736139,7766870,7,17.66841173171997,1,914214,65301,12,2.018174648284912,1,10534734,752487,12,7.038265705108643,0,102241840,7302989,7,18.27316665649414,0,110178759,7869914,7,18.86646270751953,1,914214,65301,12,2.019193410873413,1,10534734,752487,12,7.039876937866211
topspin_14_4.d=2000000,6 10 12 5 4 8 7 0 9 3 1 11 2 13,0,100933183,7209513,7,16.76588797569275,0,108825827,7773276,7,17.915897846221924,1,3558366,254169,13,6.040899991989136,0,107896555,7706901,13,66.80645561218262,0,102271191,7305086,7,17.072471857070923,0,110153640,7868120,7,17.82957410812378,1,3558366,254169,13,6.041560649871826,0,109411317,7815101,13,66.50441932678223
topspin_14_4.d=2000000,10 11 3 2 5 9 8 7 12 6 0 4 1 13,0,100920639,7208617,7,16.82603168487549,0,108702682,7764480,7,18.5705885887146,1,10780,770,10,1.0083825588226318,1,63312,4527,10,1.0093092918395996,0,102241840,7302989,7,17.186065196990967,0,110185846,7870421,7,18.092423915863037,1,10780,770,10,1.0105102062225342,1,63312,4527,10,1.009333610534668
topspin_14_4.d=2000000,8 11 0 2 4 1 12 6 9 3 5 7 10 13,0,100950028,7210717,7,17.770023345947266,0,109828261,7844878,7,18.393598794937134,1,1058862,75633,13,2.0200953483581543,0,109436437,7816896,13,67.67000818252563,0,101977597,7284115,7,17.13986825942993,0,110200673,7871479,7,18.152534008026123,1,1058862,75633,13,2.0197014808654785,0,109377153,7812661,13,67.32999777793884
topspin_14_4.d=2000000,0 11 9 12 8 7 4 1 2 5 3 10 6 13,0,102241840,7302989,7,16.930208683013916,0,110154275,7868166,7,18.84371542930603,1,806190,57585,12,2.019908905029297,1,19687516,1406256,12,13.060326099395752,0,102241840,7302989,7,18.359004020690918,0,110167168,7869086,7,18.15824842453003,1,806190,57585,12,2.0185983180999756,1,19687516,1406256,12,13.05953049659729
topspin_14_4.d=2000000,7 4 12 11 0 3 8 9 2 6 1 10 5 13,0,102310475,7307892,7,18.261403560638428,0,110192653,7870907,7,18.831825494766235,1,204344,14596,12,1.010878324508667,1,16328697,1166341,12,10.049869775772095,0,102271191,7305086,7,18.314516305923462,0,110233520,7873827,7,18.978456258773804,1,204344,14596,12,1.0114424228668213,1,16328697,1166341,12,11.052035331726074
topspin_14_4.d=2000000,2 1 11 8 12 4 3 7 6 5 0 10 9 13,0,102264793,7304629,7,17.565762042999268,0,110225799,7873275,7,18.79810881614685,1,492254,35161,11,1.017301082611084,1,6742638,481622,11,5.028489112854004,0,102241840,7302989,7,18.28066349029541,0,110179407,7869960,7,18.946911096572876,1,492254,35161,11,1.0149273872375488,1,6742638,481622,11,5.0294129848480225
topspin_14_4.d=2000000,5 7 12 6 0 3 9 8 1 2 10 4 11 13,0,102300554,7307183,7,16.872053623199463,0,110232885,7873781,7,17.983724355697632,1,591822,42273,12,1.0177795886993408,1,10685080,763226,12,7.039146900177002,0,102300554,7307183,7,18.286795616149902,0,110191649,7870835,7,18.961487293243408,1,591822,42273,12,1.0153412818908691,1,10685080,763226,12,7.036876916885376
