pruning,,hanoi4-12_h1,hanoi4-12_h1,hanoi4-12_h0,hanoi4-12_h0,hanoi4-12_h2,hanoi4-12_h2
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
hanoi_4p12d.d=005,0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=005,0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')"
hanoi_4p12d.d=2000000,0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0,"(False, '13884252', '2314046')","(False, '13294414', '2215744')","(False, '18062747', '3010464')","(False, '13862090', '2310356')","(False, '16614569', '2769101')","(False, '13559537', '2259929')"
hanoi_4p12d.d=2000000,0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1,"(False, '13107336', '2184558')","(False, '14143955', '2357332')","(False, '18004507', '3000757')","(False, '17845303', '2974227')","(False, '13220467', '2203415')","(False, '12680247', '2113381')"
hanoi_4p12d.d=2000000,0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13816214', '2302707')","(False, '18011052', '3001850')","(False, '18045620', '3007611')","(False, '17013120', '2835530')","(False, '12469554', '2078261')","(False, '13554389', '2259071')"
hanoi_4p12d.d=2000000,0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0,"(False, '12944689', '2157452')","(False, '14120925', '2353494')","(False, '13495561', '2249263')","(False, '13942961', '2323834')","(False, '12410797', '2068470')","(False, '12774983', '2129170')"
hanoi_4p12d.d=2000000,0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1,"(False, '13792096', '2298688')","(False, '13293830', '2215646')","(False, '18036130', '3006027')","(False, '13971652', '2328614')","(False, '18151103', '3025188')","(False, '13988197', '2331372')"
hanoi_4p12d.d=2000000,0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0,"(False, '18300433', '3050078')","(False, '12869672', '2144955')","(False, '13567483', '2261251')","(False, '13860499', '2310147')","(False, '13600999', '2266838')","(False, '12704905', '2117489')"
hanoi_4p12d.d=2000000,0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1,"(False, '13663781', '2277309')","(False, '12675760', '2112634')","(False, '13513751', '2252295')","(False, '13910832', '2318478')","(False, '13591655', '2265279')","(False, '13015123', '2169193')"
hanoi_4p12d.d=2000000,0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0,"(False, '18091433', '3015248')","(False, '12585241', '2097551')","(False, '13536494', '2256088')","(False, '16759118', '2793201')","(False, '13533668', '2255618')","(False, '12757273', '2126219')"
hanoi_4p12d.d=2000000,0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0,"(False, '12189151', '2031529')","(False, '12650042', '2108346')","(False, '12294541', '2049093')","(False, '13935509', '2322590')","(False, '17960569', '2993433')","(False, '13865157', '2310867')"
hanoi_4p12d.d=2000000,0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1,"(False, '12759818', '2126641')","(False, '13618838', '2269812')","(False, '13526671', '2254450')","(False, '18660906', '3110162')","(False, '12464323', '2077392')","(False, '12880911', '2146826')"
